"dr_no","date_rptd","date_occ","time_occ","area_id","area_name","rpt_dist_no","crm_cd","crm_cd_desc","mocodes","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","weapon_used_cd","weapon_desc","status","status_desc","crm_cd_1","crm_cd_2","crm_cd_3","crm_cd_4","location","cross_street","location_1","zipcode","neighborhood","tract","neighborhood_council","longitude","latitude","small_bundle_name"
"200408810","2020-05-12 00:00:00","2020-05-06 00:00:00","2200",NULL,"Hollenbeck",416,627,"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT","0416 1257 0903 2058 1536 0913",5,"M","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",627,NULL,NULL,NULL,"3000 SIERRA ST",NULL,"0101000020E610000005A3923A018D5DC0B537F8C2640A4140",90031,"montecito-heights","199202",47,"-118.2032","34.0812","child abuse"
"200408540","2020-05-05 00:00:00","2020-05-05 00:00:00","1730",NULL,"Hollenbeck",488,761,"BRANDISH WEAPON","0334 1402 0903 2056 1514",0,"M","X",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","AA ","Adult Arrest",761,930,998,NULL,"LORENA","8TH","0101000020E6100000228E75711B8D5DC0FBCBEEC9C3024140",90023,"boyle-heights","204820",50,"-118.2048","34.0216","threats"
"200408541","2020-05-05 00:00:00","2020-05-05 00:00:00","1730",NULL,"Hollenbeck",488,761,"BRANDISH WEAPON","0334 0903 2056 1514",20,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","AA ","Adult Arrest",761,NULL,NULL,NULL,"LORENA","8TH","0101000020E6100000228E75711B8D5DC0FBCBEEC9C3024140",90023,"boyle-heights","204820",50,"-118.2048","34.0216","threats"
"200408421","2020-05-02 00:00:00","2020-05-02 00:00:00","0025",NULL,"Hollenbeck",409,210,"ROBBERY","0903 0906 1822 0416 0344",35,"M","B",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",210,NULL,NULL,NULL,"5200 N HUNTINGTON DR",NULL,"0101000020E6100000575BB1BFEC8A5DC033C4B12E6E0B4140",90032,"el-sereno","201501",48,"-118.1707","34.0893","robbery"
"200508933","2020-05-02 00:00:00","2020-05-02 00:00:00","0955",NULL,"Harbor",541,624,"BATTERY - SIMPLE ASSAULT","2054 1536 1822 0444 0446 0903 0416",38,"M","H",301,"GAS STATION",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"900 N WESTERN AV",NULL,"0101000020E610000064CC5D4BC8935DC04703780B24E04040",90275,"rancho-palos-verdes","296300",94,"-118.3091","33.7511","assorted assault"
"202009109","2020-04-29 00:00:00","2020-04-29 00:00:00","1100",NULL,"Olympic",2029,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1202 1822 1513 2055 0319 0447 0903",72,"F","K",101,"STREET",302,"BLUNT INSTRUMENT","IC ","Invest Cont",230,946,NULL,NULL,"500 SHATTO PL",NULL,"0101000020E610000011C7BAB88D925DC07FD93D7958084140",90020,"koreatown","211120",53,"-118.2899","34.0652","assault with a deadly weapon"
"200509359","2020-05-12 00:00:00","2020-04-28 00:00:00","1100",NULL,"Harbor",531,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0903 0311",67,"M","A",101,"STREET",NULL,NULL,"IC ","Invest Cont",740,946,NULL,NULL,"1600 W 260TH ST",NULL,"0101000020E61000000F0BB5A679935DC0789CA223B9E44040",90710,"harbor-city","293307",92,"-118.3043","33.7869","vandalism"
"201410190","2020-04-28 00:00:00","2020-04-28 00:00:00","1236",NULL,"Pacific",1413,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 2201 0903 2053 1531",0,"X","X",708,"CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"500 BROOKS AV",NULL,"0101000020E6100000EEEBC039239E5DC0D734EF3845FF4040",90291,"venice","273300",68,"-118.4709","33.9943","vandalism"
"200708674","2020-04-28 00:00:00","2020-04-27 00:00:00","2000",NULL,"Wilshire",722,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","2058 0903 0421 1509",37,"F","B",501,"SINGLE FAMILY DWELLING",511,"VERBAL THREAT","IC ","Invest Cont",930,946,NULL,NULL,"8400 BLACKBURN AV",NULL,"0101000020E610000032E6AE25E4975DC05305A3923A094140",90048,"beverly-grove","214800",58,"-118.3733","34.0721","threats"
"200111127","2020-04-29 00:00:00","2020-04-25 00:00:00","1213",NULL,"Central",128,755,"BOMB SCARE","0903 2055 1513 0404 1912 1907",0,"X","X",754,"MUSEUM",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",755,NULL,NULL,NULL,"100 N CENTRAL AV",NULL,"0101000020E61000004F1E166A4D8F5DC04A7B832F4C064140",90012,"downtown","206200",46,"-118.2391","34.0492","threats"
"201108690","2020-04-24 00:00:00","2020-04-23 00:00:00","2100",NULL,"Northeast",1151,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0903 2055 1519",50,"M","O",101,"STREET",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"1500 N MARIPOSA AV",NULL,"0101000020E6100000091B9E5E29935DC06ADE718A8E0C4140",90027,"east-hollywood","191201",34,"-118.2994","34.0981","vandalism"
"200708525","2020-04-23 00:00:00","2020-04-23 00:00:00","1200",NULL,"Wilshire",742,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1519 0903 2055",19,"M","W",748,"CULTURAL SIGNIFICANCE/MONUMENT",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"6300 WILSHIRE BL",NULL,"0101000020E610000008AC1C5A64975DC08048BF7D1D084140",90048,"carthay","216300",58,"-118.3655","34.0634","vandalism"
"202108593","2020-04-24 00:00:00","2020-04-22 00:00:00","1000",NULL,"Topanga",2104,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0903 0329 0311 2004 1218 2053 1528",59,"F","W",122,"VEHICLE, PASSENGER/TRUCK",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"21700 NORDHOFF ST",NULL,"0101000020E61000003480B74082A65DC0A01A2FDD241E4140",91311,"chatsworth","113237",99,"-118.6017","34.2355","vandalism"
"201409917","2020-04-22 00:00:00","2020-04-22 00:00:00","0030",NULL,"Pacific",1484,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0445 2004 1218 1822 2035 0903 0334 0443 2055 1514",59,"M","B",101,"STREET",312,"PIPE/METAL PIPE","IC ","Invest Cont",230,NULL,NULL,NULL,"7100 W MANCHESTER AV",NULL,"0101000020E6100000910F7A36AB9A5DC0B459F5B9DAFA4040",90045,"westchester","276500",71,"-118.4167","33.9598","assault with a deadly weapon"
"202008815","2020-04-21 00:00:00","2020-04-21 00:00:00","0800",NULL,"Olympic",2021,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0202 0334 0355 0445 0903 1822 0359 2055 1516 2004",32,"M","H",108,"PARKING LOT",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC ","Invest Cont",230,946,NULL,NULL,"4000 WILSHIRE BL",NULL,"0101000020E61000004694F6065F945DC0E3361AC05B084140",90020,"windsor-square","211701",119,"-118.3183","34.0653","assault with a deadly weapon"
"200708484","2020-04-21 00:00:00","2020-04-21 00:00:00","1900",NULL,"Wilshire",717,761,"BRANDISH WEAPON","0443 0903 1822 1513 2055",39,"M","A",103,"ALLEY",511,"VERBAL THREAT","IC ","Invest Cont",761,NULL,NULL,NULL,"400 N CITRUS AV",NULL,"0101000020E6100000E09C11A5BD955DC06EA301BC050A4140",90036,"mid-wilshire","216100",104,"-118.3397","34.0783","threats"
"201508931","2020-04-19 00:00:00","2020-04-19 00:00:00","0350",NULL,"N Hollywood",1526,624,"BATTERY - SIMPLE ASSAULT","2058 1822 0444 0400 0903 2014 1509",32,"F","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"6200 BECK AV",NULL,"0101000020E6100000A323B9FC87985DC0E5F21FD26F174140",91606,"north-hollywood","124104",24,"-118.3833","34.1831","assorted assault"
"201409911","2020-04-21 00:00:00","2020-04-19 00:00:00","1800",NULL,"Pacific",1441,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0903 1609 2053 1522",61,"M","W",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",740,946,NULL,NULL,"2600 OCEAN FRONT WK",NULL,"0101000020E61000006EA301BC059E5DC0D93D7958A8FD4040",90291,"venice","273902",68,"-118.4691","33.9817","vandalism"
"200808563","2020-04-20 00:00:00","2020-04-16 00:00:00","1000",NULL,"West LA",834,661,"UNAUTHORIZED COMPUTER ACCESS","0903 2053 1528",0,"X","X",704,"ELEMENTARY SCHOOL",NULL,NULL,"IC ","Invest Cont",661,NULL,NULL,NULL,"1600 SELBY AV",NULL,"0101000020E6100000EB73B515FB9B5DC0492EFF21FD064140",90024,"westwood","265601",63,"-118.4372","34.0546","cybercrime"
"200508361","2020-04-17 00:00:00","2020-04-16 00:00:00","2200",NULL,"Harbor",506,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","2053 1528 0311 0329 1236 0903",0,"X","X",406,"OTHER STORE",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"1600 W CARSON ST",NULL,"0101000020E6100000560E2DB29D935DC0DF4F8D976EEA4040",90501,"harbor-gateway","293201",91,"-118.3065","33.8315","vandalism"
"200708286","2020-04-14 00:00:00","2020-04-14 00:00:00","1345",NULL,"Wilshire",727,761,"BRANDISH WEAPON","1528 1822 0334 0903 2053",28,"M","W",501,"SINGLE FAMILY DWELLING",304,"CLUB/BAT","AO ","Adult Other",761,NULL,NULL,NULL,"100 N SYCAMORE AV",NULL,"0101000020E6100000CBA145B6F3955DC0287E8CB96B094140",90036,"hancock-park","214100",119,"-118.343","34.0736","threats"
"200708292","2020-04-15 00:00:00","2020-04-13 00:00:00","1030",NULL,"Wilshire",749,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 0903 1513 1312 2036 0911 0447 1300 2055",39,"M","A",101,"STREET",212,"BOTTLE","IC ","Invest Cont",230,NULL,NULL,NULL,"WILSHIRE","MUIRFIELD","0101000020E61000005BD3BCE314955DC00E2DB29DEF074140",90010,"mid-wilshire","211000",119,"-118.3294","34.062","assault with a deadly weapon"
"200309761","2020-04-12 00:00:00","2020-04-11 00:00:00","1745",NULL,"Southwest",355,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0319 0421 0903 1536 1822 0432 0910 2049 2051 2054",24,"M","H",102,"SIDEWALK",511,"VERBAL THREAT","AA ","Adult Arrest",930,NULL,NULL,NULL,"EXPOSITION BL","WESTERN AV","0101000020E6100000006F8104C5935DC027C286A757024140",90018,"exposition-park","222002",772,"-118.3089","34.0183","threats"
"200309760","2020-04-11 00:00:00","2020-04-10 00:00:00","1745",NULL,"Southwest",375,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0319 0334 0411 0445 0903 0910 1536 1822 2049 2054",35,"M","H",102,"SIDEWALK",207,"OTHER KNIFE","AA ","Adult Arrest",230,NULL,NULL,NULL,"EXPOSITION BL","WESTERN AV","0101000020E6100000006F8104C5935DC027C286A757024140",90018,"exposition-park","222002",772,"-118.3089","34.0183","assault with a deadly weapon"
"200110160","2020-04-07 00:00:00","2020-04-06 00:00:00","2330",NULL,"Central",119,624,"BATTERY - SIMPLE ASSAULT","2058 1510 0903 2050 0416 0910",23,"F","H",834,"LA UNION STATION (NOT LINE SPECIFIC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"800 N ALAMEDA ST",NULL,"0101000020E61000008104C58F318F5DC0E561A1D634074140",90012,"downtown","206020",46,"-118.2374","34.0563","assorted assault"
"200110131","2020-04-06 00:00:00","2020-04-06 00:00:00","1330",NULL,"Central",182,624,"BATTERY - SIMPLE ASSAULT","2004 1822 0903 2055 1513",49,"M","K",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",624,NULL,NULL,NULL,"OLYMPIC","GRAND AV","0101000020E61000009B559FABAD905DC02FDD240681054140",90015,"downtown","207900",52,"-118.2606","34.043","assorted assault"
"200808099","2020-04-07 00:00:00","2020-04-05 00:00:00","1200",NULL,"West LA",857,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0903 0329 1403 2053 1528",36,"M","O",730,"SYNAGOGUE/TEMPLE",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"9200 W PICO BL",NULL,"0101000020E61000000C022B8716995DC002BC051214074140",90035,"pico-robertson","269100",61,"-118.392","34.0553","vandalism"
"200110091","2020-04-05 00:00:00","2020-04-05 00:00:00","1730",NULL,"Central",153,624,"BATTERY - SIMPLE ASSAULT","0903 1536 2054 0416 0444 2036 1822 2004",51,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"200 W 6TH ST",NULL,"0101000020E610000000000000000000000000000000000000",NULL,NULL,NULL,NULL,"0","0","assorted assault"
"201309066","2020-04-04 00:00:00","2020-04-04 00:00:00","2330",NULL,"Newton",1346,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 0903 1514 2055 0416 1218 0305 0209",59,"F","B",102,"SIDEWALK",304,"CLUB/BAT","IC ","Invest Cont",230,NULL,NULL,NULL,"VERNON AV","CENTRAL AV","0101000020E610000023DBF97E6A905DC02A3A92CB7F004140",90011,"historic-south-central","228600",125,"-118.2565","34.0039","assault with a deadly weapon"
"200707735","2020-03-25 00:00:00","2020-03-24 00:00:00","1130",NULL,"Wilshire",715,624,"BATTERY - SIMPLE ASSAULT","2053 0903 1528 0522 1822",20,"M","W",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"400 N DETROIT ST",NULL,"0101000020E610000060764F1E16965DC06EA301BC050A4140",90036,"fairfax","214000",58,"-118.3451","34.0783","assorted assault"
"200807509","2020-03-19 00:00:00","2020-03-19 00:00:00","2100",NULL,"West LA",898,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1402 0329 0903 2053 1525",0,"X","X",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",740,946,998,NULL,"REGENT","CATTARAUGUS","0101000020E6100000B84082E2C7985DC086C954C1A8044140",90034,"mid-city","269700",61,"-118.3872","34.0364","vandalism"
"200807464","2020-03-18 00:00:00","2020-03-18 00:00:00","0005",NULL,"West LA",898,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0903 2053 1525",0,"X","X",152,"UNDERPASS/BRIDGE*",NULL,NULL,"IC ","Invest Cont",745,946,NULL,NULL,"REGENT ST","CATTARAUGUS AV","0101000020E6100000B84082E2C7985DC086C954C1A8044140",90034,"mid-city","269700",61,"-118.3872","34.0364","vandalism"
"200407101","2020-03-19 00:00:00","2020-03-18 00:00:00","1500",NULL,"Hollenbeck",468,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","2053 2054 1539 0329 0903 1528",0,"X","X",152,"UNDERPASS/BRIDGE*",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"4TH","LORENA","0101000020E6100000F853E3A59B8C5DC0F8C264AA60044140",90063,"boyle-heights","204110",50,"-118.197","34.0342","vandalism"
"200406943","2020-03-15 00:00:00","2020-03-14 00:00:00","2200",NULL,"Hollenbeck",407,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","1514 2055 0329 0906 0903",31,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"4400 MERCURY AV",NULL,"0101000020E61000007FD93D79588C5DC0FB5C6DC5FE0A4140",90032,"montecito-heights","201301",48,"-118.1929","34.0859","vandalism"
"200308487","2020-03-13 00:00:00","2020-03-13 00:00:00","1300",NULL,"Southwest",392,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0421 1822 2055 1516 0903",39,"M","H",202,"LIQUOR STORE",511,"VERBAL THREAT","IC ","Invest Cont",930,NULL,NULL,NULL,"48TH ST","9TH AV","0101000020E6100000FE43FAEDEB945DC00000000000004140",90043,"hyde-park","234501",80,"-118.3269","34","threats"
"202107339","2020-03-14 00:00:00","2020-03-13 00:00:00","2100",NULL,"Topanga",2113,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0311 0903 0216 2036 2054 1536",31,"M","W",501,"SINGLE FAMILY DWELLING",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"22900 BURTON ST",NULL,"0101000020E610000055302AA913A85DC024B9FC87F41B4140",91304,"west-hills","134302",11,"-118.6262","34.2184","vandalism"
"200108986","2020-03-12 00:00:00","2020-03-12 00:00:00","0115",NULL,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 0903 2055 1514 0447 1218",41,"M","B",101,"STREET",212,"BOTTLE","IC ","Invest Cont",230,NULL,NULL,NULL,"7TH ST","SAN JULIAN","0101000020E6100000F241CF66D58F5DC0304CA60A46054140",90014,"downtown","206300",52,"-118.2474","34.0412","assault with a deadly weapon"
"200607954","2020-03-15 00:00:00","2020-03-11 00:00:00","1800",NULL,"Hollywood",638,946,"OTHER MISCELLANEOUS CRIME","0903 2055 1513 2057 1506 2036 0421",30,"F","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NULL,NULL,"IC ","Invest Cont",946,NULL,NULL,NULL,"5500 HOLLYWOOD BL",NULL,"0101000020E61000000EBE30992A945DC093A98251490D4140",90028,"hollywood","190301",30,"-118.3151","34.1038","miscellaneous crimes"
"202007351","2020-03-10 00:00:00","2020-03-09 00:00:00","1445",NULL,"Olympic",2024,624,"BATTERY - SIMPLE ASSAULT","0432 0903 2054 1536 0446 0416 0417 1822",50,"X","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"6TH ST","ARDMORE","0101000020E61000004F1E166A4D935DC04703780B24084140",90020,"koreatown","211802",55,"-118.3016","34.0636","assorted assault"
"200308261","2020-03-09 00:00:00","2020-03-09 00:00:00","2005",NULL,"Southwest",393,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0216 2055 1516 1822 0416 0447 0305 1414 0903 2036",37,"M","H",210,"RESTAURANT/FAST FOOD",306,"ROCK/THROWN OBJECT","AA ","Adult Arrest",230,NULL,NULL,NULL,"4200 CRENSHAW BL",NULL,"0101000020E6100000EF38454772955DC00C022B8716014140",90008,"baldwin-hillscrenshaw","236100",79,"-118.3351","34.0085","assault with a deadly weapon"
"201507299","2020-03-08 00:00:00","2020-03-07 00:00:00","2108",NULL,"N Hollywood",1531,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","2053 1528 0903 0329",0,"M","W",507,"CONDOMINIUM/TOWNHOUSE",NULL,NULL,"IC ","Invest Cont",745,946,NULL,NULL,"12700 BURBANK BL",NULL,"0101000020E6100000E0BE0E9C339A5DC0832F4CA60A164140",91607,"valley-glen","124400",21,"-118.4094","34.1722","vandalism"
"200707334","2020-03-12 00:00:00","2020-03-05 00:00:00","1730",NULL,"Wilshire",776,625,"OTHER ASSAULT","2055 1513 0903 1822 0356 2036",18,"F","A",116,"OTHER/OUTSIDE",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",625,NULL,NULL,NULL,"VENICE","VINEYARD","0101000020E610000021B0726891955DC0BC74931804064140",90019,"mid-city","218220",73,"-118.337","34.047","other assault"
"200307949","2020-03-04 00:00:00","2020-03-04 00:00:00","1530",NULL,"Southwest",311,625,"OTHER ASSAULT","2055 1513 0903 0416 0329 0447 1822 0919 1309 1310",36,"M","A",122,"VEHICLE, PASSENGER/TRUCK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",625,NULL,NULL,NULL,"HAUSER BL","CARLIN ST","0101000020E6100000107A36AB3E975DC08716D9CEF7034140",90016,"west-adams","219901",75,"-118.3632","34.031","other assault"
"201507161","2020-03-05 00:00:00","2020-03-04 00:00:00","2025",NULL,"N Hollywood",1539,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","2055 0603 0903 0421 0913 1514 0361",29,"M","B",104,"DRIVEWAY",511,"VERBAL THREAT","AA ","Adult Arrest",930,NULL,NULL,NULL,"5600 DENNY AV",NULL,"0101000020E61000002C6519E258975DC0832F4CA60A164140",91601,"north-hollywood","124300",24,"-118.3648","34.1722","threats"
"200906897","2020-03-04 00:00:00","2020-03-03 00:00:00","2200",NULL,"Van Nuys",911,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0903 2053 1528 0603",57,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NULL,NULL,"IC ","Invest Cont",740,NULL,NULL,NULL,"15500 SHERMAN WY",NULL,"0101000020E6100000D95F764F1E9E5DC044FAEDEBC0194140",91406,"van-nuys","127300",20,"-118.4706","34.2012","vandalism"
"201407575","2020-03-01 00:00:00","2020-03-01 00:00:00","1200",NULL,"Pacific",1495,624,"BATTERY - SIMPLE ASSAULT","2055 1516 0903 2036 2004",19,"F","H",108,"PARKING LOT",511,"VERBAL THREAT","IC ","Invest Cont",624,NULL,NULL,NULL,"6100 WESTCHESTER PY",NULL,"0101000020E610000054742497FF985DC08BFD65F7E4F94040",90045,"westchester","980028",71,"-118.3906","33.9523","assorted assault"
